"",Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55
RPL34,3227.4485,1043.2793,967.0132,1033.4294,2305.1878,3317.1403,1255.9868,1816.9034,1425.302,1384.0353,1303.017,1496.9372,826.1567,1651.9833,1409.7035,2505.4102,1828.0567,727.1356,424.9435,1222.9235,1157.9319,1385.4802,1244.77,3794.0336,3240.191,695.0572,2292.2652,1300.6349,1148.0816,1047.0622,1565.4372,1516.2202,674.8355,1709.4075,1388.1111,894.1701,1451.7532,1626.5149,1820.2432,3849.3003,2808.4077,1167.4739,1617.3592,1536.0443,2149.8559,2946.323,1969.118,1806.4653,1449.1091,2045.5782,1413.3067,1347.586,1098.8612,2041.0117,765.9677
LYZ,79.3414,707.9198,1033.8666,26.3562,142.5651,80.4965,181.8183,1613.9249,317.3644,1280.3072,677.7357,1176.2417,296.3505,1620.4614,1120.6689,20.6183,46.8019,2563.4899,1230.4618,57.6475,2261.5818,1563.9437,494.4243,111.0278,676.9225,193.4879,507.6821,302.381,369.2875,1865.1872,69.1999,17.9707,10.3602,47.847,10.144,228.7173,3701.7855,39.9689,289.5635,131.1225,110.1979,971.893,908.1849,222.3724,260.7265,124.7082,1069.8995,170.1578,102.7009,249.0374,274.6706,980.0218,312.2217,142.3007,2147.6531
CD74,630.5572,2847.1161,1532.7207,1581.6158,2696.5688,853.4574,589.1321,1100.6055,589.4186,1525.6965,1484.3756,693.8295,510.9681,1644.9372,2829.1326,101.545,178.5683,1184.2756,267.1708,2218.8527,2285.4144,1056.9578,842.6072,1095.2341,2843.8024,1058.4392,1334.1759,868.0015,858.0004,974.4444,1360.1988,283.9201,1283.715,329.1221,640.9893,2112.6112,2403.431,111.2479,830.5439,690.7332,1116.803,1252.0717,2073.0222,281.6764,1816.9498,1649.4149,1015.1638,680.2853,1057.2141,723.9325,285.501,547.4029,332.3011,587.6291,532.3495
IGLL1,903.9023,51.8134,4.6655,1.6105,1080.4028,4206.5336,2291.2277,886.5254,40.6816,10.0073,149.2948,278.1308,229.6263,850.3989,1013.5404,194.2119,80.1147,129.2332,60.9262,561.215,407.1739,2.4614,193.1623,1329.7595,294.1535,44.4216,496.1144,368.2317,43.2779,17.3572,181.0289,3.7255,20.1212,966.5572,409.3975,5.6112,166.5463,34.1647,209.1736,439.0573,524.1642,11.0897,12.2857,773.7291,374.0809,101.8501,570.0666,1727.8255,44.7204,130.8873,1132.25,668.0281,462.2111,2221.1297,69.0332
SPINK2,1665.4449,1991.6023,236.5945,71.9236,1422.0685,1305.1658,404.399,192.4096,1175.8682,47.3182,46.724,345.066,62.5758,1325.2577,743.434,1855.105,1098.4691,599.688,71.6524,1738.1369,712.0079,523.0678,2111.9477,2733.3146,1456.6537,67.0553,93.1829,4.3192,14.7156,322.4527,608.1737,156.1441,634.2499,401.1854,223.9635,16.0156,82.2514,134.3731,308.4113,1764.0846,2803.3737,39.8575,39.6019,1119.3527,1191.515,746.5778,370.8543,234.6568,13.4884,15.4088,385.0432,723.5888,392.6939,1534.338,96.0814
PRG3,3.4294,0.0481,0,0,0.5197,4.3172,0.0109,0,0.6014,0.1365,3.5086,5.0447,5.1522,40.7841,3.4979,28.2946,0.0921,1168.8943,77.7926,340.2319,3.9984,3.373,0.7958,2.1248,0.5837,9.9572,0,5325.8609,1.6868,56.0588,0,0.9757,0,62.394,0.1509,16.0459,0.3835,54.7933,1.6797,10.3466,0,4.1025,0.0238,290.4441,0.104,0.0546,119.6178,0.4004,0.0506,1.6001,8.9269,0.1125,108.4681,0.0707,37.1446
RNASE2,99.2543,420.8574,85.4461,2.4865,121.1849,142.3858,208.3011,212.4801,59.9752,534.4085,281.0173,52.4576,30.3801,753.6714,492.5351,56.103,13.8651,1577.569,725.036,530.3944,371.9936,81.2172,84.5844,27.1076,40.6918,964.0641,106.928,4258.6754,196.3735,231.1257,30.6342,101.2403,126.3771,208.643,28.5625,673.3107,276.5083,152.2936,217.8663,77.9976,17.4611,198.0728,23.1907,1576.9517,29.5315,11.8558,721.5612,412.7674,9.5795,20.259,2326.794,383.4907,643.771,606.444,1775.8022
S100A11,50.001,2565.7468,1717.1328,119.9241,328.2354,48.7325,131.5159,259.2396,96.7524,769.7899,615.328,451.7801,797.0415,224.3474,308.3229,61.7425,218.4039,2255.7432,1133.1552,146.0927,217.2145,2607.5847,212.4575,77.4681,737.8954,1102.9847,832.031,309.6652,635.6531,848.0685,34.2662,257.7679,404.8723,400.393,152.3948,835.4782,328.1761,124.804,475.2048,69.715,41.7535,1735.8979,1533.8161,157.2634,181.122,78.4752,175.6801,24.6606,270.0389,314.9556,153.497,204.4671,146.9376,60.042,2238.8462
MPO,339.3055,100.7285,21.0691,0.8475,480.869,807.9099,2179.1126,3349.6442,375.2238,15.4866,485.2086,152.456,78.7878,247.2934,456.9103,20.4456,41.2235,129.5479,349.1925,14.5994,31.5177,248.6674,286.8116,96.3843,173.7739,42.4717,197.2923,1036.2022,672.8916,395.1077,303.6529,8.4227,8.6242,108.487,35.7907,92.312,205.2176,74.1129,293.0945,85.6938,64.7882,29.5873,2.5504,17.7222,19.0779,23.6915,1644.519,1626.4295,16.4407,179.7901,2170.893,856.5709,341.2578,645.3382,1008.5131
RPS21,2716.6347,1672.9639,705.1037,444.4523,1325.8014,2917.4381,3684.0946,1312.2683,1198.0632,1545.2854,1660.4818,1161.6124,851.1436,1592.4679,1400.0709,1781.6538,1587.8198,537.0778,344.9363,1872.2976,2581.1437,1310.4261,1141.4871,2261.1463,1699.3843,609.6788,1995.8238,1028.4809,574.7877,704.5303,1545.6073,1739.9923,958.2429,1938.3045,1454.0818,710.3325,1395.8729,993.391,1452.3608,1684.3461,1332.3287,1581.179,1176.2972,1154.1774,1845.6624,1806.4579,1257.3402,1565.5049,1194.6834,1606.717,1177.2499,861.188,506.5504,2278.2345,456.7452
